Current (mA),Angle (°)
0.0358,289
0.0342,291
0.0324,293
0.0304,295
0.0284,297
0.0264,299
0.0244,301
0.0220,303
0.0192,305
0.0163,307
0.0136,309
0.0102,311
0.0081,313
0.0061,315
0.0045,317
0.0030,319
0.0018,321
0.0009,323
0.0008,325
0.0013,327
0.0032,329
0.0063,331
0.0117,333
0.0195,335
0.0313,337
0.0469,339
0.0696,341
0.0981,343
0.1400,345
0.1931,347
0.2584,349
0.3467,351
0.2054,353
