Current (mA),Angle (°)
0.0487,289
0.0501,291
0.0515,293
0.0532,295
0.0549,297
0.0568,299
0.0588,301
0.0609,303
0.0633,305
0.0663,307
0.0698,309
0.0746,311
0.0801,313
0.0865,315
0.0943,317
0.1035,319
0.1140,321
0.1263,323
0.1397,325
0.1559,327
0.1739,329
0.1915,331
0.2103,333
0.2334,335
0.2652,337
0.3017,339
0.3431,341
0.3872,343
0.4382,345
0.4987,347
0.5581,349
0.6145,351
0.1155,353
