Current (mA),Angle (°)
0.8653,280
0.9174,285
0.9263,290
0.9168,295
0.9065,300
0.8972,305
0.8936,310
0.8919,315
0.9075,320
0.9129,325
0.9140,330
0.9362,335
0.9016,340
0.8462,345
0.6476,350
